AFCODI,CVCVEN,CVCPRO,CVDPRO,CVPVEN,CVPPUB,CVSCO1,CVSCO2,CVDVAL,AFFPRZ,AFAIVA,AFDVA1,AFPEU1,CVCPAG
039887070,DG,0165013,"ZOLMITRIPTAN DOC*6CPR RIV2,5MG",0,0,"38,35",0,205012310,,10,20180206,00013590,
046717031,DG,0177101,VINORELBINA DOC*1CPS 30MG    FFR,0,0,"38,35",0,205012310,,10,20200306,00056670,
047302017,DG,0187364,METFORMINA DOC*30CPR RIV 500MG,0,0,"38,35",0,205012310,,10,20200603,00001270,
047302056,DG,0187368,METFORMINA DOC*60CPR RIV1000MG,0,0,"38,35",0,205012310,,10,20200603,00003640,
047302029,DG,0181760,METFORMINA DOC*50CPR RIV 500MG,0,0,"38,35",0,205012310,,10,20200511,00001970,
047302043,DG,0187366,METFORMINA DOC*40CPR RIV 850MG,0,0,"38,35",0,205012310,,10,20200603,00002530,
935821847,DG,0096769,MULTICENTRUM CUORE MENTE120PRL,"22,98",0,0,0,205012310,,10,20230101,00044900,
049080029,DG,0245309,GLICLAZIDE DOC*30CPR 60MG RM,0,0,"38,35",0,205012310,,10,20220106,00005370,
049080017,DG,0245308,GLICLAZIDE DOC*60CPR 30MG RM,0,0,"38,35",0,205012310,,10,20220106,00006800,
049098015,DG,0247139,AMLODIPINA VAL ID DOC*28CPR 5+,0,0,"38,35",0,205012310,,10,20220417,00008800,
048464010,DG,0247141,"TRIOLM*28CPR RIV 20+5+12,5MG",0,0,"38,35",0,205012310,,10,20220727,00008720,
048464022,DG,0247142,"OLMESARTAN AM ID DOC*40+5+12,5",0,0,"38,35",0,205012310,,10,20220727,00008720,
048464046,DG,0247143,OLMESARTAN AM ID DOC*40+5+25MG,0,0,"38,35",0,205012310,,10,20220727,00008720,
048464059,DG,0247144,OLMESARTAN AM ID DOC*40+10+25M,0,0,"38,35",0,205012310,,10,20220727,00008720,
048464034,DG,0247145,OLMESARTAN AM ID DOC*40+10+,0,0,"38,35",0,205012310,,10,20220727,00008720,
042984043,DG,0245423,LANSOPRAZOLO DOC*28CPS 30MG,0,0,"38,35",0,205012310,,10,20220106,00010750,
042984031,DG,0246126,LANSOPRAZOLO DOC*28CPS 15MG,0,0,"38,35",0,205012310,,10,20220106,00006720,
042984029,DG,0097875,LANSOPRAZOLO DOC 14CPS 30MG,0,0,"38,35",0,205012310,,10,20160630,00006180,
045145012,DG,0247501,BISANTIM*COLL 1FL 3ML,0,0,"38,35",0,205012310,,10,20220531,00012200,
